Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Bomb Damage Assessment,Source ID,id,start_week
130747,NA,CBI,USA,10 AF,CATF (11 BS),B25,NA,1,HENYANG,CHINA,26.905278,112.627778,NA,CHINA,WANLING (WANTLING?),BRIDGE SOUTH OF WANLING,NA,NA,28.366667,121.366667,NA,1,1,1,NA,NA,NA,NA,8,100 LB GP (GP-M30),1760,0.88,NA,NA,NA,0,NA,NA,NA,0,1760,0.88,EXCELLENT,30,1466,NA
130749,1942-10-10,MTO,USA,9 AF,98 BG,B24,NA,NA,RAMAT DAVID,PALESTINE,32.666603,35.183325,NA,LIBYA,BENGHAZI,NA,NA,NA,32.11,20.05,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,18,NA,33,1467,1942-10-05
130753,1942-10-11,MTO,USA,9 AF,1ST PROV GRP,B24,NA,NA,LYDDA,PALESTINE,32.009444,34.882778,NA,LIBYA,CONVOY,NA,NA,NA,34,22.5,140,9,9,9,NA,NA,NA,NA,45,1000 LB GP (GP-M44/M65),NA,22.5,NA,NA,NA,0,NA,NA,NA,0,NA,22.5,NA,554,1468,1942-10-05
130754,1942-10-11,MTO,USA,9 AF,1ST PROV GRP,B17,NA,NA,LYDDA,PALESTINE,32.009444,34.882778,NA,LIBYA,TOBRUK,NA,NA,NA,32.04,23.95,230,7,6,6,NA,NA,2,NA,24,1000 LB GP (GP-M44/M65),NA,12,NA,NA,NA,0,NA,NA,NA,0,NA,12,NA,565,1469,1942-10-05
130755,1942-10-11,MTO,GREAT BRITAIN,RAF,160 SQDN,LIB,NA,NA,AQIR,EGYPT,31.833333,34.8166667,NA,CRETE,SUDA BAY FUEL INSTALLATION,NA,NA,2,35.29,24.04,110,8,2,2,NA,NA,NA,NA,0,1000 LB GP (GP-M44/M65),NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,3,NA,699296,1470,1942-10-05
130756,1942-10-11,MTO,GREAT BRITAIN,RAF,160 SQDN,LIB,NA,NA,AQIR,EGYPT,31.833333,34.8166667,NA,CRETE,LIT RUNWAY HERAKLION,NA,NA,2,35.48,29.15,100,8,2,2,NA,NA,NA,NA,0,1000 LB GP (GP-M44/M65),NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,3,NA,698735,1471,1942-10-05
130762,1942-10-11,MTO,USA,9 AF,98 BG,B24,NA,NA,RAMAT DAVID,PALESTINE,32.666603,35.183325,NA,LIBYA,BENGHAZI,NA,NA,NA,32.11,20.05,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,17.5,NA,34,1472,1942-10-05
131048,1944-06-10,MTO,USA,12 AF,27 FBG,A36,NA,NA,LA BANCA AIRFIELD,ITALY,41.253197,14.505806,9630,ITALY,COSENZA,NA,NA,NA,39.27,16.25,NA,17,NA,34,3,2,NA,NA,34,500 LB GP (GP-M43/M64),NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,1473,1944-06-05
131067,1944-06-10,MTO,USA,12 AF,86 FBG,A36,NA,NA,MARCIANISE AIRFIELD,ITALY,41.115481,14.176319,1385,ITALY,AQUAPENDENTE,NA,NA,NA,42.73,11.87,NA,4,NA,NA,NA,NA,NA,NA,8,500 LB GP (GP-M43/M64),NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1474,1944-06-05
131068,1944-06-10,MTO,USA,12 AF,86 FBG,A36,NA,NA,MARCIANISE AIRFIELD,ITALY,41.115481,14.176319,1416,ITALY,ARCIDOSSO,NA,NA,NA,42.87,11.53,NA,4,NA,NA,NA,NA,NA,NA,8,500 LB GP (GP-M43/M64),NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1475,1944-06-05
