,Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,TargetCountry,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,id,start_week
490,35738,1944-01-20,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,15112,ITALY,FROSINONE,NA,NA,NA,41.63,13.37,NA,10,NA,NA,NA,NA,NA,NA,20,500 LB GP (GP-M43/M64),NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,490,1944-01-17
491,35740,1944-01-20,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,32826,ITALY,PALESTRINA,NA,NA,NA,41.82,12.92,NA,9,NA,NA,NA,NA,NA,NA,18,500 LB GP (GP-M43/M64),NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,491,1944-01-17
492,35743,1944-01-20,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,45136,ITALY,VETRALLO,NA,NA,NA,42.32,12.07,NA,6,NA,NA,NA,NA,NA,NA,12,500 LB GP (GP-M43/M64),NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,492,1944-01-17
493,35744,1944-01-20,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,45556,ITALY,VITERBO,NA,NA,NA,42.42,12.12,NA,6,NA,NA,NA,NA,NA,NA,12,500 LB GP (GP-M43/M64),NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,493,1944-01-17
494,36052,1944-01-21,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,14717,ITALY,FRASCATI,NA,NA,NA,41.07,12.67,NA,14,NA,NA,NA,NA,NA,NA,28,500 LB GP (GP-M43/M64),NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,494,1944-01-17
495,36055,1944-01-21,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,44833,ITALY,VELLETRI,NA,NA,NA,41.68,12.78,NA,7,NA,NA,NA,NA,NA,NA,14,500 LB GP (GP-M43/M64),NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,495,1944-01-17
496,36057,1944-01-21,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,2084,ITALY,AUSONIA,NA,NA,NA,41.58,13.38,NA,6,NA,NA,NA,NA,NA,NA,12,500 LB GP (GP-M43/M64),NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,496,1944-01-17
497,36064,1944-01-21,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,9630,ITALY,COSENZA,NA,NA,NA,39.27,16.25,NA,0,NA,NA,NA,NA,NA,NA,0,500 LB GP (GP-M43/M64),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,497,1944-01-17
498,36661,1944-01-22,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,13644,ITALY,FERENTINO,NA,NA,NA,41.68,13.28,NA,50,NA,50,NA,2,NA,NA,100,500 LB GP (GP-M43/M64),NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,498,1944-01-17
499,36677,1944-01-22,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,35052,ITALY,PRIVERNO,NA,NA,NA,42,13,NA,8,NA,NA,NA,NA,NA,NA,16,500 LB GP (GP-M43/M64),NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,499,1944-01-17
