,Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,TargetCountry,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,id,start_week
635,51037,1940-08-20,MTO,GREAT BRITAIN,RAF,223 SQDN,WELL,NA,NA,SUMMIT,SUDAN,18.75,36.8167,NA,ETHIOPIA,DESSIE,AERODROME,NA,NA,9.5833,41.8667,0,5,5,5,NA,NA,NA,NA,NA,250 LB GP (GP-M57),0,NA,NA,X,NA,NA,NA,NA,NA,NA,5500,2.75,NA,NA,NA,635,1940-08-19
636,51039,1940-08-21,EAST AFRICA,SOUTH AFRICA,SAAF,11 SQDN,BATT,NA,NA,NAIROBI,KENYA,-1.2833,36.8167,NA,SOMALIA,MOGADISHU,AERODROME,NA,NA,2.0411,45.3426,10,6,6,6,NA,NA,NA,NA,24,250 LB GP (GP-M57),12000,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,636,1940-08-19
637,51314,NA,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,9035,ITALY,CISTERNA DI ROMA,NA,NA,NA,41.57,12.83,NA,36,NA,36,1,4,NA,NA,72,500 LB GP (GP-M43/M64),NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,637,NA
638,51328,NA,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,25298,ITALY,LITTORIA,NA,ARMAMENT AND ORDNANCE PLANTS,NA,41.47,12.9,NA,12,NA,NA,NA,NA,NA,NA,24,500 LB GP (GP-M43/M64),NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,638,NA
639,52595,NA,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,43021,ITALY,TERRACINA,NA,NA,NA,41.27,13.25,NA,12,NA,12,1,NA,NA,NA,24,500 LB GP (GP-M43/M64),NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,639,NA
640,53630,NA,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,36829,ITALY,ROME,NA,NA,NA,41.9,12.47,NA,11,NA,NA,NA,NA,NA,NA,22,500 LB GP (GP-M43/M64),NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,640,NA
641,53757,NA,EAST AFRICA,GREAT BRITAIN,RAF,47 SQDN,WELL,NA,NA,ERKOWIT,SUDAN,18.75,37,NA,SUDAN,KASSALA,NA,NA,NA,15.45,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,641,NA
642,54005,NA,MTO,SOUTH AFRICA,SAAF,12 SQDN,JU86,NA,NA,NAIROBI,KENYA,-1.2833,36.8167,NA,ETHIOPIA,YAVELLO,AERODROME,NA,NA,4.8833333,38.0833333,15,3,3,3,NA,NA,NA,1,NA,250 LB GP (GP-M57),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2360,1.18,NA,NA,NA,642,NA
643,54006,NA,EAST AFRICA,SOUTH AFRICA,SAAF,11 SQDN,BATT,NA,NA,NAIROBI,KENYA,-1.2833,36.8167,NA,SOMALIA,ISHA BAIDOA,AERODROME,NA,NA,3.066667,43.649802,0,3,3,3,NA,NA,NA,NA,12,250 LB GP (GP-M57),6000,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,643,NA
644,54007,NA,EAST AFRICA,GREAT BRITAIN,RAF,223 SQDN,WELL,NA,NA,SUMMIT,SUDAN,18.75,36.8167,NA,SUDAN,KASSALA,NA,NA,NA,15.45,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,644,NA
